Tipo,Subtipo,Descripcion,Descripcion_Limpia
Mobiliario,Mobiliario,SILLON EJECUTIVO RESPALDO MEDIO COLOR NEGRO. ND 13/2002. ALTA 02 AGOSTO 2002,"['sillon', 'ejecutivo', 'respaldo', 'medio', 'color', 'negro', 'nd', 'alta', 'agosto']"
Mobiliario,Mobiliario,PINTARRON 60X90 (ALTA 20 ENE 1999 MARCA ALFRA).,"['pintarron', 'alta', 'ene', 'marca', 'alfra']"
Equipo,Equipo,"MONITOR DE COLOR HP DE 15"", N.D. 017/2002 ALTA 07 OCTUBRE 2002","['monitor', 'color', 'hp', 'nd', 'alta', 'octubre']"
Mobiliario,Mobiliario,"CESTO DE BASURA ALUMINIO N.D. 007/2005, ALTA 31 AGOSTO 2005","['cesto', 'basura', 'aluminio', 'nd', 'alta', 'agosto']"
Transporte,Transporte,"AUTOMOVIL FORD ESCORT 1998, PLACAS: HZG1129, NO. SERIE: 3FABP1136WR109452, NO. MOTOR: S/N, NO. ECONÓ","['automovil', 'ford', 'escort', 'placas', 'hzg', 'serie', 'fabpwr', 'motor', 'sn', 'econ']"
Equipo,Equipo,"TRITURADORA DE DOCUMENTOS. ALTA 13 SEP 2006, N.D. 07/2006","['trituradora', 'documentos', 'alta', 'sep', 'nd']"
Mobiliario,Mobiliario,SILLON P/SALA RECEPCION.(SILLON FIJO III PLAZAS TELA VERDE) ALTA 04 FEB 2002 N.D. 005/2002,"['sillon', 'psala', 'recepcionsillon', 'fijo', 'iii', 'plazas', 'tela', 'verde', 'alta', 'feb', 'nd']"
Equipo,Equipo,REGULADOR TDE S/N: 16030085976,"['regulador', 'tde', 'sn']"
Equipo,Equipo,IDENTIFICADOR DE LLAMADAS,"['identificador', 'llamadas']"
Mobiliario,Mobiliario,MESA PARA IMPRESORA CON MEDIDA DE .80 DE FRENTE X .50 DE ANCHO X .75 DE ALTURA CON PUERTAS SIN CERRA,"['mesa', 'impresora', 'medida', 'frente', 'ancho', 'altura', 'puertas', 'cerra']"
Equipo,Equipo,"TELEFONO CORDLESS DECT/GAT HANSET-MOBILE 100 REFLEXES FOR OFFICE USE, DELIVERED, WITHOUT CHARGER","['telefono', 'cordless', 'dectgat', 'hansetmobile', 'reflexes', 'for', 'office', 'use', 'delivered', 'without', 'charger']"
Mobiliario,Mobiliario,"PEDESTAL SUSPENDIDO CON 1 CAJON PAPELERO,1 CAJON PARA INST. EN LATERALES, EN ESQUINERO, EN 2 GRAPAS","['pedestal', 'suspendido', 'cajon', 'papelero', 'cajon', 'inst', 'laterales', 'esquinero', 'grapas']"
Equipo,Equipo,FAX TELEFONO,"['fax', 'telefono']"
Equipo,Equipo,"COMPUTADORA COMPLETA CON QUEMADORCPU MULTIMEDIA CON QUEMADOR 530 KINCLUYE: MONITOR, TECLADO Y MO","['computadora', 'completa', 'quemadorcpu', 'multimedia', 'quemador', 'kincluye', 'monitor', 'teclado', 'mo']"
Mobiliario,Mobiliario,ARCHIVERO HORIZONTAL DE 3 GAVETAS,"['archivero', 'horizontal', 'gavetas']"
Equipo,Equipo,C.P.U. PENTIUM,"['cpu', 'pentium']"
Mobiliario,Mobiliario,"ESCRITORIO EJECUTIVO DE MADERA C/5 CAJONES DE .80X1.77 S/M, S/M, S/N. SERIE","['escritorio', 'ejecutivo', 'madera', 'c', 'cajones', 'sm', 'sm', 'sn', 'serie']"
Mobiliario,Mobiliario,ESCRITORIO GRAPA 1.26 CMS. BERLIN CAOBA,"['escritorio', 'grapa', 'cms', 'berlin', 'caoba']"
Equipo,Equipo,"EXTINGUIDOR, MARCA ANSUL SENTRY, MODELO 435, S/N SERIE","['extinguidor', 'marca', 'ansul', 'sentry', 'modelo', 'sn', 'serie']"
Equipo,Equipo,"PANEL DE TONOS, INSTALADO EN EL EDIFICIO CULTURAL Y ADMINISTRATIVO","['panel', 'tonos', 'instalado', 'edificio', 'cultural', 'administrativo']"
Equipo,Equipo,"ANTENA DIPOLOS OMNI DIRECCIONAL, INSTALADA EN EL CERRO DEL CUATRO","['antena', 'dipolos', 'omni', 'direccional', 'instalada', 'cerro', 'cuatro']"
Equipo,Equipo,"VIDEO CASETERA, FORMATO VHS DE 4 CABEZAS","['video', 'casetera', 'formato', 'vhs', 'cabezas']"
Mobiliario,Mobiliario,SILLA SECRETARIAL CON RODAJAS Y CODERAS,"['silla', 'secretarial', 'rodajas', 'coderas']"
Mobiliario,Mobiliario,"MESA MULTIUSOS, MEDIDAS DE 40X60X68, CON CAJON","['mesa', 'multiusos', 'medidas', 'xx', 'cajon']"
Mobiliario,Mobiliario,"COCINA INTEGRAL EN ESCUADRA, MEDIDAS DE 2.50 MTS. CUENTA CON 11 CAJONES, ESTADIO JALISCO","['cocina', 'integral', 'escuadra', 'medidas', 'mts', 'cuenta', 'cajones', 'estadio', 'jalisco']"
Equipo,Equipo,ESTEREO CON DOS BOCINAS,"['estereo', 'dos', 'bocinas']"
Equipo,Equipo,VIDEOCASETERA DE 6 CABEZAS,"['videocasetera', 'cabezas']"
Equipo,Equipo,DECK GRABADORA,"['deck', 'grabadora']"
Equipo,Equipo,"MONITOR, INSTALADO EN SALA DE EXRECTORES","['monitor', 'instalado', 'sala', 'exrectores']"
Equipo,Equipo,RATÓN PS2 CON SCROLL (331),"['ratn', 'ps', 'scroll']"
Equipo,Equipo,IMPRESORA LASERJET 20PM A COLOR.,"['impresora', 'laserjet', 'pm', 'color']"
Mobiliario,Mobiliario,TUBULAR 4 NIVELES,"['tubular', 'niveles']"
Mobiliario,Mobiliario,PERCHERO,['perchero']
Equipo,Equipo,"CPU PENTIUM III A 1 GHZ, 256MB (2*128MB), DISCO DURO DE 10GB, CD-ROOM REMOVIBLE (162)","['cpu', 'pentium', 'iii', 'ghz', 'mb', 'mb', 'disco', 'duro', 'gb', 'cdroom', 'removible']"
Equipo,Equipo,MOUSE LOGITECH T-CC2-9F SERIE LT123C04148,"['mouse', 'logitech', 'tccf', 'serie', 'ltc']"
Mobiliario,Mobiliario,"SILLA TAPIZ DE TELA COLOR AZUL PLATA, CON RUEDAS, AJUSTE EN DESCANSA BRAZOS, EN ALTURA, EN INCLINACI","['silla', 'tapiz', 'tela', 'color', 'azul', 'plata', 'ruedas', 'ajuste', 'descansa', 'brazos', 'altura', 'inclinaci']"
Equipo,Equipo,TARJETA DE EDICIÓN DE VIDEO CAPTURA Y EFECTOS EN TIEMPO REAL (146),"['tarjeta', 'edicin', 'video', 'captura', 'efectos', 'tiempo', 'real']"
Equipo,Equipo,MOUSE INTEGRADO EN COMPUTADORA COMPLETA,"['mouse', 'integrado', 'computadora', 'completa']"
Mobiliario,Mobiliario,GABINETE CERRADO COLOR GRIS,"['gabinete', 'cerrado', 'color', 'gris']"
Mobiliario,Mobiliario,"SILLA COLOR AZÚL, CON CODERAS (116)ASESORES","['silla', 'color', 'azl', 'coderas', 'asesores']"
Equipo,Equipo,PULIDORA EN COLOR AMARILLO,"['pulidora', 'color', 'amarillo']"
Equipo,Equipo,"REPRODUCTOR DE DISCOS COMPACTOS,","['reproductor', 'discos', 'compactos']"
Equipo,Equipo,RATÓN ÓPTICO USB CON SCROLL (77),"['ratn', 'ptico', 'usb', 'scroll']"
Equipo,Equipo,TECLADO (67)ASESORES,"['teclado', 'asesores']"
Equipo,Equipo,AUDIFONO MICRIFONO,"['audifono', 'micrifono']"
Equipo,Equipo,"BACK UPS PRO, NOBRAKE,","['back', 'ups', 'pro', 'nobrake']"
Equipo,Equipo,"MONITOR 15"" HP","['monitor', 'hp']"
Equipo,Equipo,BASE DE MESA PARA MICROFONO DE 15 CMS.,"['base', 'mesa', 'microfono', 'cms']"
Equipo,Equipo,"COMPUTADORA PORTATIL PENTIUM IV A 1.8 GHZ, 256MB(2X128MB) EN RAM, DISCO DURO DE 20 GB, TARJETA INALA","['computadora', 'portatil', 'pentium', 'iv', 'ghz', 'mbxmb', 'ram', 'disco', 'duro', 'gb', 'tarjeta', 'inala']"
Equipo,Equipo,"GRABADORA PORTATIL DE MINIDISCOS, CON 6 ACCESORIOS: 1 ADAPTADOR DE ALIMENTACION,CABLES DE USB,MANDO","['grabadora', 'portatil', 'minidiscos', 'accesorios', 'adaptador', 'alimentacioncables', 'usbmando']"
Mobiliario,Mobiliario,CUBIERTA DE TRABAJO .90FRENTE X0.50 FONDO COLOR GRIS.,"['cubierta', 'trabajo', 'frente', 'fondo', 'color', 'gris']"
Mobiliario,Mobiliario,ARCHIVERO DE METAL DE 5 COMPATIMENTOS DE 100X45X196 CM. COLOR NEGRO,"['archivero', 'metal', 'compatimentos', 'xx', 'cm', 'color', 'negro']"
Mobiliario,Mobiliario,"MESA DE 1.20X60X75 CM. CON ESTRUCTURA NEGRA, CUBIERTA DE CAOBA TIMOLDING NEGRO","['mesa', 'xx', 'cm', 'estructura', 'negra', 'cubierta', 'caoba', 'timolding', 'negro']"
Equipo,Equipo,NO BREAK,['break']
Mobiliario,Mobiliario,"RACK DE ACERO, COLOR NEGRO DE 2.15 METROS","['rack', 'acero', 'color', 'negro', 'metros']"
Equipo,Equipo,SCANER PARA COMPUTADORA MARCA HP MODELO 3570 COLOR GRIS,"['scaner', 'computadora', 'marca', 'hp', 'modelo', 'color', 'gris']"
Mobiliario,Mobiliario,"SILLAS SECRETARIALES ORTOPEDICAS TELA NAVY COLOR AZUL,  SISTEMA NEUMATICO, CON RODAJASMODELO VOYAG","['sillas', 'secretariales', 'ortopedicas', 'tela', 'navy', 'color', 'azul', 'sistema', 'neumatico', 'rodajasmodelo', 'voyag']"
Equipo,Equipo,"COMPAGINADORA DCIDA, 10 CHAROLAS","['compaginadora', 'dcida', 'charolas']"
Mobiliario,Mobiliario,COLOR AZUL DE .60X1.60,"['color', 'azul']"
Equipo,Equipo,CDS SOFTWARE COGNOS OLAP 7.1 UNIX 7 CDS,"['cds', 'software', 'cognos', 'olap', 'unix', 'cds']"
Equipo,Equipo,CDS SOFTWARE COGNOS IMPROMPTU 7.1 ADMINISTRADOR 3 CDS,"['cds', 'software', 'cognos', 'impromptu', 'administrador', 'cds']"
Equipo,Equipo,"CPU DESKPRO SLIM CON PROCESADOR PIII, 15GB, 128MB, CD 40X","['cpu', 'deskpro', 'slim', 'procesador', 'piii', 'gb', 'mb', 'cd']"
Equipo,Equipo,PROYECTOR LCD MOD.PT-LB50SU DE 2000 LUMEN MARCA PANASONIC,"['proyector', 'lcd', 'modptlbsu', 'lumen', 'marca', 'panasonic']"
Equipo,Equipo,TELEFONO INALAMBRICO PLANTRONICS CT10 CORDLESS HEADSET TELEPHONE,"['telefono', 'inalambrico', 'plantronics', 'ct', 'cordless', 'headset', 'telephone']"
Mobiliario,Mobiliario,"CREDENZA DIRECCIÓN CON CAJONERA IZQUIERDA, 1 CAJON PAPELERO Y 1 GAVETA PARA ARCHIVO DE 210X50X75 CM.","['credenza', 'direccin', 'cajonera', 'izquierda', 'cajon', 'papelero', 'gaveta', 'archivo', 'xx', 'cm']"
Mobiliario,Mobiliario,SILLA GIRATORIA  TELA EN COLOR TINTO,"['silla', 'giratoria', 'tela', 'color', 'tinto']"
Mobiliario,Mobiliario,"MAMPARA CLASICA SOLIDA DE 180X120X04 CM. EN TELA, COLOR NEGRO","['mampara', 'clasica', 'solida', 'xx', 'cm', 'tela', 'color', 'negro']"
Mobiliario,Mobiliario,"ESCRITORIO EJECUTIVO DE MADERA, TIPO BALA DE 170X75X75 CM. COLOR CAOBA","['escritorio', 'ejecutivo', 'madera', 'tipo', 'bala', 'xx', 'cm', 'color', 'caoba']"
Equipo,Equipo,VIDEO PROYECTOR LCD DATA PROJECTOR,"['video', 'proyector', 'lcd', 'data', 'projector']"
Mobiliario,Mobiliario,MAMPARA EN TELA DE 91.2X04X209 CM. MODELO HAWAII COLOR ROJO BERMELLÓN,"['mampara', 'tela', 'xx', 'cm', 'modelo', 'hawaii', 'color', 'rojo', 'bermelln']"
Mobiliario,Mobiliario,MAMPARA EN TELA DE 91.2X04X209 CM. HAWAII COLOR ROJO BERMELLÓN,"['mampara', 'tela', 'xx', 'cm', 'hawaii', 'color', 'rojo', 'bermelln']"
Equipo,Equipo,MONITOR A COLOR PANTALLA PLANA.,"['monitor', 'color', 'pantalla', 'plana']"
Equipo,Equipo,0.90 X 1.20,[]
Equipo,Equipo,"REGULADOR DE CORRIENTE DE VOLTAJE 1000 WATTS , 4 CONTACTOS, COLOR BLANCO","['regulador', 'corriente', 'voltaje', 'watts', 'contactos', 'color', 'blanco']"
Mobiliario,Mobiliario,"LIBRERO, COLOR NEGRO CANTOS DE PVC DE .40X.35X2.10 M.","['librero', 'color', 'negro', 'cantos', 'pvc', 'xx', 'm']"
Equipo,Equipo,CPU PENTIUM DE 40 GB,"['cpu', 'pentium', 'gb']"
Mobiliario,Mobiliario,"ARCHIVERO HORIZONTAL DE 4 GAVETAS DE 86X48X135 CM. COLOR CAOBA, COMUN NEGRO Y CANTO NEGRO","['archivero', 'horizontal', 'gavetas', 'xx', 'cm', 'color', 'caoba', 'comun', 'negro', 'canto', 'negro']"
Mobiliario,Mobiliario,MESA CUADRADA DE MADERA CON BASE DE METAL COLOR CAFE DE 75 X 1.20,"['mesa', 'cuadrada', 'madera', 'base', 'metal', 'color', 'cafe']"
Equipo,Equipo,TELEFONO DIGITAL MANOS LIBRES SIN JOG,"['telefono', 'digital', 'manos', 'libres', 'jog']"
Mobiliario,Mobiliario,MESA PLEGABLE DE MADERA Y METAL 76X1.52 MTS.,"['mesa', 'plegable', 'madera', 'metal', 'mts']"
Mobiliario,Mobiliario,LATERAL PARA ESCRITORIO CON CAJONERA TAMAÑO OFICIO Y CHAPA CERRADURA CON SISTEMA PARA COLGAR FOLDERS,"['lateral', 'escritorio', 'cajonera', 'tamao', 'oficio', 'chapa', 'cerradura', 'sistema', 'colgar', 'folders']"
Mobiliario,Mobiliario,ARCHIVERO HORIZONTAL CON 2 GAVETAS DE ARCHIVO COLOR BERLIN VINO,"['archivero', 'horizontal', 'gavetas', 'archivo', 'color', 'berlin', 'vino']"
Mobiliario,Mobiliario,PUENTE PARA CONJUNTO AJUSTABLE HASTA 1.00 MTS COLOR BERLIN VINO,"['puente', 'conjunto', 'ajustable', 'hasta', 'mts', 'color', 'berlin', 'vino']"
Equipo,Equipo,COMPUTADORA COMPAQ EXD PIII 1GHZ,"['computadora', 'compaq', 'exd', 'piii', 'ghz']"
Equipo,Equipo,MONITOR PARA COMPUTADORA COMPAQ,"['monitor', 'computadora', 'compaq']"
Mobiliario,Mobiliario,SILLA DE VISITAS SIN CODERAS COLOR NEGRO,"['silla', 'visitas', 'coderas', 'color', 'negro']"
Mobiliario,Mobiliario,REPISA NEGRA DE CUATRO COMPARTIMENTOS (PARA PONER SOBRE ESCRITORIO),"['repisa', 'negra', 'cuatro', 'compartimentos', 'poner', 'sobre', 'escritorio']"
Equipo,Equipo,COMPUTADORA PRESCOT,"['computadora', 'prescot']"
Mobiliario,Mobiliario,SILLA SEMIEJECUTIVA PISTON NEUMATICO CON PERILLAS DE AJUSTE CON BRAZOS COLOR NEGRO,"['silla', 'semiejecutiva', 'piston', 'neumatico', 'perillas', 'ajuste', 'brazos', 'color', 'negro']"
Mobiliario,Mobiliario,PEDESTAL SUSPENDIDO CON 1 CAJON PAPELERO Y 1 PARA ARCHIVO,"['pedestal', 'suspendido', 'cajon', 'papelero', 'archivo']"
Equipo,Equipo,LAPTOP CON DVD WRITER,"['laptop', 'dvd', 'writer']"
Mobiliario,Mobiliario,ESQUINERO CON 2 COSTADOS 1.66 MTS CON EXTENSION / COLOR MAPLE,"['esquinero', 'costados', 'mts', 'extension', 'color', 'maple']"
Mobiliario,Mobiliario,FRIGOBAR GE,"['frigobar', 'ge']"
Mobiliario,Mobiliario,BANCO DE MADERA DE ESCALON COLOR CAFE,"['banco', 'madera', 'escalon', 'color', 'cafe']"
Mobiliario,Mobiliario,CARRO TRANSPORTADOR DE LIBROS COLOR ARENA DE 95 X 50,"['carro', 'transportador', 'libros', 'color', 'arena']"
Mobiliario,Mobiliario,ENTREPAÑO DE ANAQUEL DOBLE DE 89 X 60 CM,"['entrepao', 'anaquel', 'doble', 'cm']"
Mobiliario,Mobiliario,ESTANTERIA DE 360 X 211 CM,"['estanteria', 'cm']"
Mobiliario,Mobiliario,ESTANTERIA DE METAL DE 211 X 733 CM,"['estanteria', 'metal', 'cm']"
Mobiliario,Mobiliario,MESAS DE MADERA DE 300 DE LARGO X 58 DE ANCHO X 83 DE ALTO,"['mesas', 'madera', 'largo', 'ancho', 'alto']"
Mobiliario,Mobiliario,GABINETE TIPO ALACENA CON LLAVE 2 PUERTAS,"['gabinete', 'tipo', 'alacena', 'llave', 'puertas']"
Mobiliario,Mobiliario,ARCHIVERO DE MADERA 4 CAJONES COLOR NATURAL,"['archivero', 'madera', 'cajones', 'color', 'natural']"
Mobiliario,Mobiliario,ARCHIVERO MADERA 3 CAJONES MEDIDA 50 X 1.26,"['archivero', 'madera', 'cajones', 'medida']"
Mobiliario,Mobiliario,ARCHIVERO DE MADERA 2 CAJONES MADERA 50 X 66,"['archivero', 'madera', 'cajones', 'madera']"
Mobiliario,Mobiliario,FOTOCOPIADORA MARCA RICOH FT 4822,"['fotocopiadora', 'marca', 'ricoh', 'ft']"
Mobiliario,Mobiliario,DUPLICADORA RISO MOD: GR3770,"['duplicadora', 'riso', 'mod', 'gr']"
Mobiliario,Mobiliario,LECTOR DE IMPRESOR DE MICROFILM MICROPINTER60 NO.SERIE 0988,"['lector', 'impresor', 'microfilm', 'micropinter', 'noserie']"
Mobiliario,Mobiliario,SOPORTA LIBROS TIPO ESCUADRA,"['soporta', 'libros', 'tipo', 'escuadra']"
Mobiliario,Mobiliario,CREDENZA DE MADERA COLOR NEGRO/CAOBA DE 155CM DE LARGO X 45 CM DE ANCHO X 75 DE ALTO,"['credenza', 'madera', 'color', 'negrocaoba', 'cm', 'largo', 'cm', 'ancho', 'alto']"
Mobiliario,Mobiliario,MUEBLE DE MADERA PARA FICHEROS MANUALES CON 10 CAJONES EN COLOR NARURAL CON BARRA DE COLOR BCO.,"['mueble', 'madera', 'ficheros', 'manuales', 'cajones', 'color', 'narural', 'barra', 'color', 'bco']"
Mobiliario,Mobiliario,ESTACION DE TRABAJO COMPUESTA POR ESCRITORIO DE 2 CAJONES DE 175 CM DELARGO X 73 DE ANCHO Y X 75CM D,"['estacion', 'trabajo', 'compuesta', 'escritorio', 'cajones', 'cm', 'delargo', 'ancho', 'cm', 'd']"
Mobiliario,Mobiliario,"C / U FTE. ALTA Y BAJA 429  DE 36,24,18 Y 14  PTS","['c', 'u', 'fte', 'alta', 'baja', 'pts']"
Mobiliario,Mobiliario,PARRILLA ELECTRICA MARCA TK MODELO E-602D.,"['parrilla', 'electrica', 'marca', 'tk', 'modelo', 'ed']"
Mobiliario,Mobiliario,ARCHIVERO DE 3 CAJONES,"['archivero', 'cajones']"
Mobiliario,Mobiliario,PINTARRON BLANCO,"['pintarron', 'blanco']"
Mobiliario,Mobiliario,TELAR DE ENCUADERNACION DE 58 CMS.,"['telar', 'encuadernacion', 'cms']"
Mobiliario,Mobiliario,LIBRERO 1.85 X 1.67 X .46 COLOR CAOBA 4 ENTREPAÑOS,"['librero', 'color', 'caoba', 'entrepaos']"
Mobiliario,Mobiliario,MUEBLES DE TRABAJOS LINEALES DE 1.50 MTS. DE FRENTE POR  60CM DE FONDO Y 2 MTS DE ALTURA CON SU SECC,"['muebles', 'trabajos', 'lineales', 'mts', 'frente', 'cm', 'fondo', 'mts', 'altura', 'su', 'secc']"
Mobiliario,Mobiliario,ANUNCIO DE MADERA PARA TRIPTICOS,"['anuncio', 'madera', 'tripticos']"
Mobiliario,Mobiliario,IMPRESORA EVEREST DE INTERPUNTO CARACTER EN BRAILE EN 6 PUNTOS PARALELO USB Y PROGRAMA DE FORMATEO D,"['impresora', 'everest', 'interpunto', 'caracter', 'braile', 'puntos', 'paralelo', 'usb', 'programa', 'formateo', 'd']"
Mobiliario,Mobiliario,MOUSE GENIUS NETSCROLL TRAVELER OPTICO,"['mouse', 'genius', 'netscroll', 'traveler', 'optico']"
Mobiliario,Mobiliario,"SACAPUNTAS ELECTRICO, MRC: ELMERS, MOD: 1921X, COLOR NEGRO","['sacapuntas', 'electrico', 'mrc', 'elmers', 'mod', 'color', 'negro']"
Mobiliario,Mobiliario,"VIDEOCASSETERA MARCA PANASONIC NSF2SA21752, MODELO MB-021PX","['videocassetera', 'marca', 'panasonic', 'nsfsa', 'modelo', 'mbpx']"
Mobiliario,Mobiliario,FOTOCOPIADORA MITA DC- 3060,"['fotocopiadora', 'mita', 'dc']"
Mobiliario,Mobiliario,MEZA REDONAD COLOR PINO 1.45MTS DE DIAMETRO,"['meza', 'redonad', 'color', 'pino', 'mts', 'diametro']"
Mobiliario,Mobiliario,PORTA LIBROS CARRITO AMARILLO 90CMS POR 18.5 CMS,"['porta', 'libros', 'carrito', 'amarillo', 'cms', 'cms']"
Equipo,Equipo,PROTECTOR DE PANTALLA,"['protector', 'pantalla']"
Mobiliario,Mobiliario,SILLON 2 PLAZAS,"['sillon', 'plazas']"
Equipo,Equipo,ARCHIVERO CON 3 CAJONES EN COLOR GRIS.,"['archivero', 'cajones', 'color', 'gris']"
Mobiliario,Mobiliario,PANTALLA TRIPIE ALFRA SILVER SCREEN 1.80,"['pantalla', 'tripie', 'alfra', 'silver', 'screen']"
Equipo,Equipo,MOUSE LASSER,"['mouse', 'lasser']"
Mobiliario,Mobiliario,"P/MESA DE 72"" PARK AVENUE","['pmesa', 'park', 'avenue']"
Equipo,Equipo,SCANER COLOR BLANCO,"['scaner', 'color', 'blanco']"
Equipo,Equipo,COMPUTADORA HP DC7600 P4 3.2 GHZ 512 MB CD-ROM WIN XP,"['computadora', 'hp', 'dc', 'p', 'ghz', 'mb', 'cdrom', 'win', 'xp']"
Transporte,Transporte,"AIRE ACONDICIONADO  ,TRANSMISION AUTOMATICA 12 PASAJEROS","['aire', 'acondicionado', 'transmision', 'automatica', 'pasajeros']"
Equipo,Equipo,DVD-RW,['dvdrw']
Equipo,Equipo,REGULADOR SOLA MICRO SEA 1600,"['regulador', 'sola', 'micro', 'sea']"
Mobiliario,Mobiliario,MESA LARGA 1.83*.76*.75,"['mesa', 'larga']"
Equipo,Equipo,MEMORIA KINGNSTON 512 MB INTERNO (INSTALADO EN EL EQUIPO CON N/S:MXJ5150028),"['memoria', 'kingnston', 'mb', 'interno', 'instalado', 'equipo', 'nsmxj']"
Mobiliario,Mobiliario,MUEBLE DE BAÑO,"['mueble', 'bao']"
Mobiliario,Mobiliario,SILLA TAPIZ NEGRO,"['silla', 'tapiz', 'negro']"
Equipo,Equipo,COMPUTADORA LAP TOP,"['computadora', 'lap', 'top']"
Equipo,Equipo,DE C02 DE 4.5 KG,"['c', 'kg']"
Equipo,Equipo,DE GUSANO,['gusano']
Equipo,Equipo,"COMPUTADORA PORTATIL SATELITE PRO CENTRINO 1.3GHZ 512MB, 40GB, 14.1 PULGADAS, WIN XP PRO.","['computadora', 'portatil', 'satelite', 'pro', 'centrino', 'ghz', 'mb', 'gb', 'pulgadas', 'win', 'xp', 'pro']"
Mobiliario,Mobiliario,RESPALDO BAJO,"['respaldo', 'bajo']"
Mobiliario,Mobiliario,DE TRABAJO MECANISMO DE AJUSTE EN RESPALDO Y ASIENTO BASE ESTRELLA 5 PUNTOS TAPIZADA EN TELA IMPORTA,"['trabajo', 'mecanismo', 'ajuste', 'respaldo', 'asiento', 'base', 'estrella', 'puntos', 'tapizada', 'tela', 'importa']"
Equipo,Equipo,SACAPUNTAS ELECTICO,"['sacapuntas', 'electico']"
Mobiliario,Mobiliario,ESTENSION PUENTE EJECUTIVO PARA ESCRITORIO DE CREDENZA DE 1.10 X 50 CMS EN MADERA POLIESTER CAOBA MO,"['estension', 'puente', 'ejecutivo', 'escritorio', 'credenza', 'cms', 'madera', 'poliester', 'caoba', 'mo']"
Equipo,Equipo,MOTOBOMBA CAUDAL PARA DISTRIBUCION DE AGUA.,"['motobomba', 'caudal', 'distribucion', 'agua']"
Equipo,Equipo,"COLOR AUTO IRIS LENTE 3.6 MM INFRA ROJO, VISION NOCTURNA","['color', 'auto', 'iris', 'lente', 'mm', 'infra', 'rojo', 'vision', 'nocturna']"
Equipo,Equipo,ESCRITORIO EN COLOR GRIS,"['escritorio', 'color', 'gris']"
Mobiliario,Mobiliario,MESA DE JUNTAS REDONDA DE 1.20 MTS DE DIAMETRO LINEA HONN ACABADOS EN LAMINADO PLASTICO,"['mesa', 'juntas', 'redonda', 'mts', 'diametro', 'linea', 'honn', 'acabados', 'laminado', 'plastico']"
Mobiliario,Mobiliario,ARCHIVERO DE DE MADERA CON 3 GAVETAS,"['archivero', 'madera', 'gavetas']"
Equipo,Equipo,VIDEO CASSETERA SONY,"['video', 'cassetera', 'sony']"
Equipo,Equipo,"NEGRO-PLATA, 17""",['negroplata']
Equipo,Equipo,"MONITOR UVGA COLOR 15""","['monitor', 'uvga', 'color']"
Mobiliario,Mobiliario,"BANCA DE 4 PLAZAS VISITANTES ASIENTOS, RESPALDO EN POLIPROPILENO","['banca', 'plazas', 'visitantes', 'asientos', 'respaldo', 'polipropileno']"
Transporte,Transporte,VW SEDAN DOS PUERTAS COLOR NEGRO (PINTADO DE BLANCO) CON EL LOGO DE LA UNIVERSIDAD DE GUADALAJARA,"['vw', 'sedan', 'dos', 'puertas', 'color', 'negro', 'pintado', 'blanco', 'logo', 'universidad', 'guadalajara']"
Equipo,Equipo,"MONITOR A COLOR DE 15"" NEGRO CON PLATA INCLUIDO EN COMPUTADORA COMPLETA (P2R) (ND 42/04)","['monitor', 'color', 'negro', 'plata', 'incluido', 'computadora', 'completa', 'pr', 'nd']"
Equipo,Equipo,NO BREAK 6 CONTACTOS + 1 PARA PUERTO SERIAL CON REGULADOR COLOR CAFE CLARO (P1G) (R/E),"['break', 'contactos', 'puerto', 'serial', 'regulador', 'color', 'cafe', 'claro', 'pg', 're']"
Mobiliario,Mobiliario,ESCRITORIO DE TRABAJO DE MELANINA COLOR MIEL.,"['escritorio', 'trabajo', 'melanina', 'color', 'miel']"
Equipo,Equipo,IMPRESORA DE INYECCIÓN DE TINTA,"['impresora', 'inyeccin', 'tinta']"
Equipo,Equipo,TARJETA DE RED 3COM 11 A/B/G WIRELESS PCI,"['tarjeta', 'red', 'com', 'abg', 'wireless', 'pci']"
Mobiliario,Mobiliario,"MESAS LATERALES DE .50 X .60 X .50 COLOR ARCE/PLATINO, NM-3010","['mesas', 'laterales', 'color', 'arceplatino', 'nm']"
Mobiliario,Mobiliario,ORGANIZADORES VERTICALES DOBLES,"['organizadores', 'verticales', 'dobles']"
Mobiliario,Mobiliario,SILLA FIJA DE METAL CROMADA FORRADA EN VINIL COLOR NEGRO SIN CODERAS RESPALDO EN FORMA DE PENTAGONO,"['silla', 'fija', 'metal', 'cromada', 'forrada', 'vinil', 'color', 'negro', 'coderas', 'respaldo', 'forma', 'pentagono']"
Equipo,Equipo,"COMPUTADORA PENTIUM 4, 2.2GHZ, 256BM, DISCO DURO DE 40GB, 7200 RPM, CD-52X, DRIVE 3.5, GABINETE ATX","['computadora', 'pentium', 'ghz', 'bm', 'disco', 'duro', 'gb', 'rpm', 'cdx', 'drive', 'gabinete', 'atx']"
Equipo,Equipo,TONER EPSON COLOR AZUL PARA MULTIDUNCIONAL EPSON ACULASER C1100O CX11,"['toner', 'epson', 'color', 'azul', 'multiduncional', 'epson', 'aculaser', 'co', 'cx']"
Equipo,Equipo,CALCULADORA ANALITICA BIG DISPLAY NEGRA DE 8 DIGITOS Y BOTONES GRANDES (P3LE) (ND 59A/04),"['calculadora', 'analitica', 'big', 'display', 'negra', 'digitos', 'botones', 'grandes', 'ple', 'nd']"
