Tipo,Subtipo,Descripcion,Descripcion_Limpia
Libro,Libro,"Editorial INTER-médica, 764 páginas, pasta dura, MVZ","['editorial', 'intermdica', 'pginas', 'pasta', 'dura', 'mvz']"
Mobiliario,Mobiliario,MESA DE TRABAJO  DE 1.50 X .60 X .75 MTS. MELAMINA 28MM. EN COLOR PERA/NEGRO. (MODUTRAM,"['mesa', 'trabajo', 'mts', 'melamina', 'mm', 'color', 'peranegro', 'modutram']"
Libro,Libro,"Editorial Jones and Bartlett, 386 páginas, pasta blanda, Carrera de Ingenieria en Sistemas Pecuarios","['editorial', 'jones', 'and', 'bartlett', 'pginas', 'pasta', 'blanda', 'carrera', 'ingenieria', 'sistemas', 'pecuarios']"
Libro,Libro,ISBN 9789814322508,['isbn']
Mobiliario,Mobiliario,CREDENZA CON 2 PUERTAS Y ENTREPAÑO INTERIOR. COLOR HAYAPF8,"['credenza', 'puertas', 'entrepao', 'interior', 'color', 'hayapf']"
Equipo,Equipo,"GENERADOR DE SEÑALEZ, 7MHZ.","['generador', 'sealez', 'mhz']"
Equipo,Equipo,TABLET STYLUS ANDROID 4.0,"['tablet', 'stylus', 'android']"
Equipo,Equipo,ANTENA CISCO 802 11a/g/n Ctrlr-based AP w/CleanAir Ext Ant N Red Domain,"['antena', 'cisco', 'agn', 'ctrlrbased', 'ap', 'wcleanair', 'ext', 'ant', 'n', 'red', 'domain']"
Libro,Libro,ISBN-13: 978-1891389504,['isbn']
Libro,Libro,ISBN: 9781842655177,['isbn']
Equipo,Equipo,COMPUTADORA HP PROBOOK,"['computadora', 'hp', 'probook']"
Mobiliario,Mobiliario,MESA DE TRABAJO COLOR PERA DE 1.80X80X75 SIN CAJONES EN MELAMINA DE 28MM CON MOLDURAS Y COSTADOS EN,"['mesa', 'trabajo', 'color', 'pera', 'xx', 'cajones', 'melamina', 'mm', 'molduras', 'costados']"
Equipo,Equipo,ESTANQUE CIRCULAR DE 5M. DIAMETRO,"['estanque', 'circular', 'm', 'diametro']"
Transporte,Transporte,"CAMIONETA, AVAN-AT-2013-DP AVANZA AT 2013 DP (2202), EQUIPAMENTO NORMAL DEL FABRICANTE: PREMIUM AT,","['camioneta', 'avanatdp', 'avanza', 'at', 'dp', 'equipamento', 'normal', 'fabricante', 'premium', 'at']"
Mobiliario,Mobiliario,SILLON SEMI-EJECUTIVO MOD.OHE-23 ASIENTO Y RESPALDO TAPIZADO EN TELA COLOR NEGRO,"['sillon', 'semiejecutivo', 'modohe', 'asiento', 'respaldo', 'tapizado', 'tela', 'color', 'negro']"
Equipo,Equipo,"DISCO DURO EXTERNO ADATA CH11 1TB 2.5"" 3.0 NEGRO","['disco', 'duro', 'externo', 'adata', 'ch', 'tb', 'negro']"
Equipo,Equipo,"COMPUTADORA HP MODELO 6300 MT CORE I5-3470 3.20/3.6Ghz TURBO 6MB CACHE, 1TB SATA DVD+/RW 4 GB DDR3 1","['computadora', 'hp', 'modelo', 'mt', 'core', 'i', 'ghz', 'turbo', 'mb', 'cache', 'tb', 'sata', 'dvdrw', 'gb', 'ddr']"
Equipo,Equipo,"CPU HP PAVILLION 6GB RAM/1TB/DISPLAY 20""/WIN","['cpu', 'hp', 'pavillion', 'gb', 'ramtbdisplay', 'win']"
Equipo,Equipo,"CAMARA FOTOGRAFICA, FACTURA: AA103397, CON FECHA 21/06/2013, PROVEEDOR: BEST BUY STORES, FIA: PENDIE","['camara', 'fotografica', 'factura', 'aa', 'fecha', 'proveedor', 'best', 'buy', 'stores', 'fia', 'pendie']"
Equipo,Equipo,SUMINISTRO DE EQUIPO UPS DE 15KVA/12KW 208V3 FASES No. PARTE G35T15KF4B4S,"['suministro', 'equipo', 'ups', 'kvakw', 'v', 'fases', 'parte', 'gtkfbs']"
Equipo,Equipo,TALADRO BROQUERO,"['taladro', 'broquero']"
Equipo,Equipo,Prensa tipo holandes,"['prensa', 'tipo', 'holandes']"
Equipo,Equipo,NO BREAK APC SMART UPS 3KVA 120V,"['break', 'apc', 'smart', 'ups', 'kva', 'v']"
Mobiliario,Mobiliario,MESA PARED  4.83M D LARGO CON CUBIERTA .60M DE ANCHO ALTURA 90CM HECHA DE ACERO INOXIDABLE TIPO 304,"['mesa', 'pared', 'm', 'd', 'largo', 'cubierta', 'm', 'ancho', 'altura', 'cm', 'hecha', 'acero', 'inoxidable', 'tipo']"
Equipo,Equipo,video proyector viewsonic PJD5134,"['video', 'proyector', 'viewsonic', 'pjd']"
Equipo,Equipo,"COMPUTADORA COMPLETA APPLE IMAC 27"" Z0MS INCLUYE TECLADO CON NO. DE SERIE: DG7323741C5DR05AU Y MOUSE","['computadora', 'completa', 'apple', 'imac', 'zms', 'incluye', 'teclado', 'serie', 'dgcdrau', 'mouse']"
Mobiliario,Mobiliario,MESA DE JUNTAS MELAMINA 2.40X1.20 INCLUYE TOMAS DE CORRIENTE 2 PUERTOS MHO2,"['mesa', 'juntas', 'melamina', 'incluye', 'tomas', 'corriente', 'puertos', 'mho']"
Mobiliario,Mobiliario,MUEBLE SOBRE DISEÑO A BASE DE MADERA DE PINO FORRADA CON FORMICA CON MEDIDAS DE 0.73 DE ALTO Y 60 CM,"['mueble', 'sobre', 'diseo', 'base', 'madera', 'pino', 'forrada', 'formica', 'medidas', 'alto', 'cm']"
Transporte,Transporte,CAMIONETA MARCA HONDA CRV EX MOD. 2013,"['camioneta', 'marca', 'honda', 'crv', 'ex', 'mod']"
Mobiliario,Mobiliario,SOFA DE 2 PLAZAS TAPIZADO EN VINIPIEL MOD. MARRUECOS COLOR NEGRO,"['sofa', 'plazas', 'tapizado', 'vinipiel', 'mod', 'marruecos', 'color', 'negro']"
Equipo,Equipo,AGENDA ELECTRONICA COLOR BLANCO,"['agenda', 'electronica', 'color', 'blanco']"
Equipo,Equipo,"Enfriador de agua de tres llaves, alacena refrigerante en la parta inferior","['enfriador', 'agua', 'tres', 'llaves', 'alacena', 'refrigerante', 'parta', 'inferior']"
Mobiliario,Mobiliario,COLOR BLANCO RESPALDO ALTO CON RUEDAS,"['color', 'blanco', 'respaldo', 'alto', 'ruedas']"
Equipo,Equipo,IMPRESORA MARCA  HEWLETT PACKARD MODELO P1102W SERIE VND3K28013,"['impresora', 'marca', 'hewlett', 'packard', 'modelo', 'pw', 'serie', 'vndk']"
Equipo,Equipo,MONITOR HP PRODISPLAY P191 18.5-IN LED,"['monitor', 'hp', 'prodisplay', 'p', 'in', 'led']"
Equipo,Equipo,"Copiadora e impresora y escáner, carta y oficio, 24 procesos por minuto, alimentador de datos, con U","['copiadora', 'e', 'impresora', 'escner', 'carta', 'oficio', 'procesos', 'minuto', 'alimentador', 'datos', 'u']"
Equipo,Equipo,"CAMARA IP INALAMBRICA DCS-2102, DETECCION DE MOVIMIENTO PARA ACTIVAR LA GRABACIÓN Y ALARMAS POR E-MA","['camara', 'ip', 'inalambrica', 'dcs', 'deteccion', 'movimiento', 'activar', 'grabacin', 'alarmas', 'ema']"
Equipo,Equipo,UNIDAD DE AIRE ACONDICIONADO SOLO FRIO MINISPLIT EFICIENCIA ESTANDAR REFRIGERANTE R22 INCLUYE UNIDAD,"['unidad', 'aire', 'acondicionado', 'solo', 'frio', 'minisplit', 'eficiencia', 'estandar', 'refrigerante', 'r', 'incluye', 'unidad']"
Equipo,Equipo,"BATERÍA PARA CPU DELL, MOD SYSTEMS XPS L","['batera', 'cpu', 'dell', 'mod', 'systems', 'xps', 'l']"
Equipo,Equipo,TABLE IPAD MINI 16GB WIFI NEGRO,"['table', 'ipad', 'mini', 'gb', 'wifi', 'negro']"
Equipo,Equipo,SCANNER WORKFORCE PRO,"['scanner', 'workforce', 'pro']"
Equipo,Equipo,ROUTER WIRELESS-N RV1200W-A-NA CISCO,"['router', 'wirelessn', 'rvwana', 'cisco']"
Equipo,Equipo,ALTÍMETRO CONTROLADO POR GRAVEDAD,"['altmetro', 'controlado', 'gravedad']"
Equipo,Equipo,FUENTE DE PODER YSERVICIO PARA LASERJET,"['fuente', 'poder', 'yservicio', 'laserjet']"
Equipo,Equipo,"IMPRESORA LASERJET HP P3015DN,42 PPM NEGRO,DUPLEX+RED.","['impresora', 'laserjet', 'hp', 'pdn', 'ppm', 'negroduplexred']"
Equipo,Equipo,COMPUTADORA PORTATIL ASUS TOUCH 1106 PENTIUM 987,"['computadora', 'portatil', 'asus', 'touch', 'pentium']"
Equipo,Equipo,IPAD MINI WI-FI 16GB BLACK-SPA,"['ipad', 'mini', 'wifi', 'gb', 'blackspa']"
Equipo,Equipo,"Brocade MLXe-4 AC system with 1 MR2(X) management module, 2 high speed switch fabric modules, 1 1800","['brocade', 'mlxe', 'ac', 'system', 'with', 'mrx', 'management', 'module', 'high', 'speed', 'switch', 'fabric', 'modules']"
Equipo,Equipo,"GRABADORA DIGITAL DE VOZ, 4GB","['grabadora', 'digital', 'voz', 'gb']"
Equipo,Equipo,RELOJ DIGITAL CHECADOR (FINGER PRINT MACHINE),"['reloj', 'digital', 'checador', 'finger', 'print', 'machine']"
Equipo,Equipo,UNIDAD DE DISCO DURO EXTERNO 2 TB,"['unidad', 'disco', 'duro', 'externo', 'tb']"
Equipo,Equipo,"SISTEMA DE VIDEOVIGILANCIA DVR 8816 16 CANALES DE VIDEO / CAMARA SENSOR SONY 520 LINEAS CCD 1/3"" LEN","['sistema', 'videovigilancia', 'dvr', 'canales', 'video', 'camara', 'sensor', 'sony', 'lineas', 'ccd', 'len']"
Equipo,Equipo,DESKTOP HPE PAVILION TOUCH,"['desktop', 'hpe', 'pavilion', 'touch']"
Equipo,Equipo,AP/CPE MIKROTIK RB751-2HN 1W/ant 3DBI P/INTERIOR CONFIGURACION HOTSPOT,"['apcpe', 'mikrotik', 'rbhn', 'want', 'dbi', 'pinterior', 'configuracion', 'hotspot']"
Mobiliario,Mobiliario,"MUEBLE DE METAL COLOR BLANCO, CON DOBLE PUERTA","['mueble', 'metal', 'color', 'blanco', 'doble', 'puerta']"
Equipo,Equipo,"Computadora HP AIO(todo en uno) AMD D1-1500 4GB Monitor 18.5"" LED Windows8","['computadora', 'hp', 'aiotodo', 'uno', 'amd', 'd', 'gb', 'monitor', 'led', 'windows']"
Equipo,Equipo,HORNO 1.1 GRILL LG,"['horno', 'grill', 'lg']"
Equipo,Equipo,INFRAESTRUCTURA DE TELECOMUNICACIONES PARA REPETIDOR BUENOS AIRES INCLUYE: TORRE DE TELECOMUNICACION,"['infraestructura', 'telecomunicaciones', 'repetidor', 'buenos', 'aires', 'incluye', 'torre', 'telecomunicacion']"
Equipo,Equipo,"INFRAESTRUCTURA DE TELECOMUNICACIONES PARA EL CUCIENEGA INCLUYE: TORRE DE TELECOMUNICACIONES, TIERRA","['infraestructura', 'telecomunicaciones', 'cucienega', 'incluye', 'torre', 'telecomunicaciones', 'tierra']"
Libro,Libro,LIBRO DE COLOR ROJO CON LETRAS DE COLOR BLANCO,"['libro', 'color', 'rojo', 'letras', 'color', 'blanco']"
Equipo,Equipo,"MONITOR DELL 18.5"" LED 1366X768 VGA CN0PY7DC64180377075B","['monitor', 'dell', 'led', 'vga', 'cnpydcb']"
Equipo,Equipo,TOLDO FIJO,"['toldo', 'fijo']"
Mobiliario,Mobiliario,"ESCRITORIO DE .80X1.10X.75 CON ESTRUCTURA DE ACERO CAL. 16, DE 2X2 CON MARCO SUPERIOR TERMINADO EN P","['escritorio', 'xx', 'estructura', 'acero', 'cal', 'marco', 'superior', 'terminado', 'p']"
Equipo,Equipo,"PC DE ESCRITORIO DELL VOSTRO 270S CI5 3450 6GB, 1TB WINDOWS 7 PRO 64 WLAN DVD-RW COT5SW1","['pc', 'escritorio', 'dell', 'vostro', 's', 'ci', 'gb', 'tb', 'windows', 'pro', 'wlan', 'dvdrw', 'cotsw']"
Equipo,Equipo,ESCANER HP G4050 PHOTO,"['escaner', 'hp', 'g', 'photo']"
Equipo,Equipo,Videoproyector viewsonic PJD5134 3D hdmi 1080/p lamp,"['videoproyector', 'viewsonic', 'pjd', 'd', 'hdmi', 'p', 'lamp']"
Equipo,Equipo,"PANTALLA TOUCH 80"" PROFESIONAL LCD LED WHITE LED FULARRAY SCREEN","['pantalla', 'touch', 'profesional', 'lcd', 'led', 'white', 'led', 'fularray', 'screen']"
Mobiliario,Mobiliario,Silla banca dos plazas modelo OHR-3000 2PCR. Negro/cromo,"['silla', 'banca', 'dos', 'plazas', 'modelo', 'ohr', 'pcr', 'negrocromo']"
Equipo,Equipo,MINI BAÑ MARIA 6L.,"['mini', 'ba', 'maria', 'l']"
Equipo,Equipo,"ESPECTROFOTOMETRO, SHIMADZU UV-MINI 1240 SPECTROPHOTOMETER,  COLOR GRIS.","['espectrofotometro', 'shimadzu', 'uvmini', 'spectrophotometer', 'color', 'gris']"
Equipo,Equipo,BALANZA ELECTRONICA PORTATIL DE PRECISION CAO 2100GX 0.1G,"['balanza', 'electronica', 'portatil', 'precision', 'cao', 'gx', 'g']"
Equipo,Equipo,"1 TB, COLORES NEGRO Y AZUL","['tb', 'colores', 'negro', 'azul']"
Equipo,Equipo,NOBREAK SOLA BASIC 800VA  (NOTA EL NUMERO DE SERIE ES DIFERENTE POR CAMBIO DE ARTICULO YA QUE EL ANT,"['nobreak', 'sola', 'basic', 'va', 'nota', 'numero', 'serie', 'diferente', 'cambio', 'articulo', 'ya', 'ant']"
Equipo,Equipo,ADAPTADOR PARA TELEVISOR APPLE MD,"['adaptador', 'televisor', 'apple', 'md']"
Equipo,Equipo,"HP PRO 3500 MT CORE I3-3220, INCLUYE TECLADO MARCA HP MODELO PR1101U N/S BCYST0AHH4Q160 Y MOUSE MARC","['hp', 'pro', 'mt', 'core', 'i', 'incluye', 'teclado', 'marca', 'hp', 'modelo', 'pru', 'ns', 'bcystahhq', 'mouse', 'marc']"
Equipo,Equipo,"BOMBA CENTRIFUGA CONSTRUIDA DE HIERRO TAMAÑO 1X1 PLG, DE 1.5 HP 127 VOLT INCLUYE MATERIAL DE COBRE Y","['bomba', 'centrifuga', 'construida', 'hierro', 'tamao', 'plg', 'hp', 'volt', 'incluye', 'material', 'cobre']"
Equipo,Equipo,PORTATIL ASUS TOUCH 11.6 PENTIUM 987.,"['portatil', 'asus', 'touch', 'pentium']"
Mobiliario,Mobiliario,"LIBRERO INFERIOR CON PUERTAS DE 80 X 40 X 75 CON CERRADURA EN COLOR OYAMEL GRIS., FACTURA: F11292, C","['librero', 'inferior', 'puertas', 'cerradura', 'color', 'oyamel', 'gris', 'factura', 'f', 'c']"
Equipo,Equipo,"PROYECTOR SVGA 2800 LUM, PC MAC","['proyector', 'svga', 'lum', 'pc', 'mac']"
Equipo,Equipo,TOSHIBA SATELLITE  C40-ASP4260RM COLOR ROJOCargador Modelo.- G71C000DF410.-T0113240005279A,"['toshiba', 'satellite', 'casprm', 'color', 'rojocargador', 'modelo', 'gcdfta']"
Equipo,Equipo,TOSHIBA SATELLITE  C40-ASP4260RM COLOR ROJOCargador Modelo.- G71C000DF410.-T0113240005295A,"['toshiba', 'satellite', 'casprm', 'color', 'rojocargador', 'modelo', 'gcdfta']"
Mobiliario,Mobiliario,"SILLÓN DE TRES PLAZAS, MODELO KALUA","['silln', 'tres', 'plazas', 'modelo', 'kalua']"
Equipo,Equipo,SISTEMA DE BAFLE AUTOAMPLIFICADO,"['sistema', 'bafle', 'autoamplificado']"
Equipo,Equipo,"COMPUTADORA PORTATIL TOSHIBA PORTAGE R930-SP3284KM, PROCESADOR CORE i7-354OM (3.6GHZ/3.00GHZ/4MB), W","['computadora', 'portatil', 'toshiba', 'portage', 'rspkm', 'procesador', 'core', 'iom', 'ghzghzmb', 'w']"
Mobiliario,Mobiliario,"Perchero AC-05- Marca: OSMAN-responsable del bien adquirido: Hugo Abraham Vélez Pérez, FACTURA 2422-","['perchero', 'ac', 'marca', 'osmanresponsable', 'bien', 'adquirido', 'hugo', 'abraham', 'vlez', 'prez', 'factura']"
Equipo,Equipo,NOBREAK KOBLENZ 900VA C/REG 6 CONT. PANTALLA LCD 40 MIN.MOD. KB9011 USBR no. SERIE 12-1210777,"['nobreak', 'koblenz', 'va', 'creg', 'cont', 'pantalla', 'lcd', 'minmod', 'kb', 'usbr', 'serie']"
Equipo,Equipo,"VENTILADOR DE TECHO CON LUZ DE 5 ASPAS DE 48"" EN COLOR CEREZO/ROBLE. UBICACIÓN CUBÍCULO ESTUDIANTES","['ventilador', 'techo', 'luz', 'aspas', 'color', 'cerezoroble', 'ubicacin', 'cubculo', 'estudiantes']"
Equipo,Equipo,HP SCANJET 5590 DIGITAL FLATBED SCANNER CN35SWH040,"['hp', 'scanjet', 'digital', 'flatbed', 'scanner', 'cnswh']"
Equipo,Equipo,MULTIFUNCIONAL HP LASERJET PRO M1536DNF,"['multifuncional', 'hp', 'laserjet', 'pro', 'mdnf']"
Libro,Libro,"LIBRO DE PASTA DURA DE COLOR CON IMAGEN DE AGUA AL FONDO DE UN POZO Y LETRAS DE COLOR BLANCO, AMARIL","['libro', 'pasta', 'dura', 'color', 'imagen', 'agua', 'fondo', 'pozo', 'letras', 'color', 'blanco', 'amaril']"
Equipo,Equipo,"COMPUTADORA DE ESCRITORIO DESKTOP,Ci3, 4GB, 1TB, WINDOWS 8, DVD-SM","['computadora', 'escritorio', 'desktopci', 'gb', 'tb', 'windows', 'dvdsm']"
Equipo,Equipo,"BAFLE AMPLIFICADO 8""","['bafle', 'amplificado']"
Equipo,Equipo,"EQ. DE COMPUTO INCLUYE KIT TECLADO Y MOUSE HDD 320GB.4GB RAM DDR3,PROCESADOR INTEL DUAL CORE QUEMADO","['eq', 'computo', 'incluye', 'kit', 'teclado', 'mouse', 'hdd', 'gbgb', 'ram', 'ddrprocesador', 'intel', 'dual', 'core', 'quemado']"
