Mobiliario,Mobiliario,ARCHIVERO DE METAL DE 5 COMPATIMENTOS DE 100X45X196 CM. COLOR NEGRO,,,,,
Mobiliario,Mobiliario,"MESA DE 1.20X60X75 CM. CON ESTRUCTURA NEGRA, CUBIERTA DE CAOBA TIMOLDING NEGRO",,,,,
Equipo,Equipo,NO BREAK,,,,,
Mobiliario,Mobiliario,"RACK DE ACERO, COLOR NEGRO DE 2.15 METROS",,,,,
Equipo,Equipo,SCANER PARA COMPUTADORA MARCA HP MODELO 3570 COLOR GRIS,,,,,
Mobiliario,Mobiliario,"SILLAS SECRETARIALES ORTOPEDICAS TELA NAVY COLOR AZUL,  SISTEMA NEUMATICO, CON RODAJASMODELO VOYAG",,,,,
Equipo,Equipo,"COMPAGINADORA DCIDA, 10 CHAROLAS",,,,,
Mobiliario,Mobiliario,COLOR AZUL DE .60X1.60,,,,,
Equipo,Equipo,CDS SOFTWARE COGNOS OLAP 7.1 UNIX 7 CDS,,,,,
Equipo,Equipo,CDS SOFTWARE COGNOS IMPROMPTU 7.1 ADMINISTRADOR 3 CDS,,,,,
Equipo,Equipo,"CPU DESKPRO SLIM CON PROCESADOR PIII, 15GB, 128MB, CD 40X",,,,,
Equipo,Equipo,PROYECTOR LCD MOD.PT-LB50SU DE 2000 LUMEN MARCA PANASONIC,,,,,
Equipo,Equipo,TELEFONO INALAMBRICO PLANTRONICS CT10 CORDLESS HEADSET TELEPHONE,,,,,
Mobiliario,Mobiliario,"CREDENZA DIRECCIÓN CON CAJONERA IZQUIERDA, 1 CAJON PAPELERO Y 1 GAVETA PARA ARCHIVO DE 210X50X75 CM.",,,,,
Mobiliario,Mobiliario,SILLA GIRATORIA  TELA EN COLOR TINTO,,,,,
Mobiliario,Mobiliario,"MAMPARA CLASICA SOLIDA DE 180X120X04 CM. EN TELA, COLOR NEGRO",,,,,
Mobiliario,Mobiliario,"ESCRITORIO EJECUTIVO DE MADERA, TIPO BALA DE 170X75X75 CM. COLOR CAOBA",,,,,
